Year,Month,Arr_60-74,Arr_75-89,Arr_90-104,Arr_105-119,Arr_120-134,Arr_135-149,Arr_150-164,Arr_165-179,Arr_Above_180,Dep_60-74,Dep_75-89,Dep_90-104,Dep_105-119,Dep_120-134,Dep_135-149,Dep_150-164,Dep_165-179,Dep_Above_180
1987,Oct,2856,1423,703,413,270,158,130,109,287,2323,1091,587,388,266,160,123,101,350
1987,Nov,4305,2735,1800,1176,824,624,447,245,710,3361,2163,1425,1003,690,523,368,232,697
1987,Dec,7852,4745,3086,2123,1435,1150,799,594,2653,6426,4022,2661,1780,1334,991,761,587,2363
1988,Jan,7487,4660,2956,2139,1471,1076,745,571,1876,5975,3703,2490,1774,1206,943,634,473,1655
1988,Feb,5028,3270,2244,1511,1004,707,484,327,1125,4180,2671,1817,1294,902,584,430,294,995
1988,Mar,3827,2374,1527,1010,687,496,393,255,770,3224,2058,1326,851,646,466,357,250,789
1988,Apr,3470,2256,1495,1010,749,468,303,239,666,2904,1894,1303,847,646,396,290,211,740
1988,May,4578,2899,1874,1258,908,619,444,305,915,3614,2362,1552,1067,704,437,360,243,877
1988,Jun,2593,1462,918,643,480,302,223,182,489,2051,1244,807,529,393,281,209,149,543
1988,Jul,3926,2375,1704,1127,842,652,511,360,1337,3200,2008,1290,912,749,566,435,330,1297
1988,Aug,3286,1872,1180,877,612,437,325,269,917,2717,1623,1048,744,527,393,298,215,871
1988,Sep,2220,1335,844,530,429,257,173,124,293,1770,1079,727,508,357,231,142,125,325
1988,Oct,3050,1730,937,565,416,260,202,160,521,2597,1428,863,493,370,252,187,147,560
1988,Nov,4474,2937,1827,1283,965,675,447,293,963,3662,2333,1504,1055,785,538,353,212,797
1988,Dec,4982,3155,2012,1297,898,665,462,349,1118,4068,2633,1672,1118,777,579,409,307,985
1989,Jan,5385,3319,2049,1464,993,660,458,354,973,4576,2736,1700,1123,881,579,364,282,897
1989,Feb,5703,3103,1873,1126,789,525,354,240,792,4373,2496,1510,883,643,433,283,211,738
1989,Mar,6325,4156,2786,1701,1186,858,636,437,1468,5426,3630,2226,1419,1031,717,523,372,1358
1989,Apr,2435,1439,881,653,493,387,334,183,528,2131,1249,816,566,459,364,291,163,511
1989,May,4122,2428,1589,1072,791,562,416,280,889,3221,1879,1222,845,657,436,307,244,808
1989,Jun,6920,4575,2962,2108,1518,1070,808,615,1990,5688,3715,2383,1672,1216,834,645,510,1705
1989,Jul,4827,3256,2144,1467,1054,799,561,431,1193,3989,2694,1713,1173,900,610,468,367,1153
1989,Aug,5497,3557,2321,1572,1021,679,457,348,889,4623,2953,1959,1321,873,534,348,284,848
1989,Sep,4591,2807,1794,1078,730,487,365,258,667,3810,2369,1416,893,629,420,317,225,611
1989,Oct,4414,2687,1743,1064,683,538,408,254,713,3803,2330,1406,917,647,478,330,248,684
1989,Nov,4960,2952,1842,1272,850,652,443,305,681,4139,2422,1487,982,714,512,356,245,634
1989,Dec,7252,4554,3002,1926,1335,895,643,480,1744,6278,3951,2721,1763,1249,824,638,451,1687
1990,Jan,5085,3251,2192,1439,1018,686,546,380,1442,4450,2752,1834,1196,825,564,419,344,1225
1990,Feb,6569,4250,3007,2075,1441,951,701,547,1861,5543,3585,2621,1768,1276,846,630,481,1724
1990,Mar,5987,3998,2483,1657,1113,759,555,389,1106,5282,3104,2065,1414,944,634,464,306,1038
1990,Apr,3410,1947,1191,776,507,393,251,180,531,2603,1500,969,603,427,306,215,139,505
1990,May,4257,2621,1748,1095,682,435,311,226,660,3073,1891,1181,752,505,338,258,186,571
1990,Jun,4469,2933,1950,1307,897,707,460,374,1139,3525,2194,1439,1046,756,541,396,308,991
1990,Jul,4295,2831,1851,1305,931,762,545,409,1369,3249,2162,1503,1041,754,577,435,360,1199
1990,Aug,5318,3378,2182,1475,1090,730,493,377,1119,4078,2681,1724,1163,836,584,410,314,977
1990,Sep,2824,1710,1220,831,573,397,279,241,773,2369,1556,955,658,470,353,242,214,694
1990,Oct,3576,2139,1358,825,568,398,285,185,426,2770,1649,1048,644,476,307,235,143,429
1990,Nov,2713,1551,977,603,461,295,198,154,395,2196,1327,833,569,374,275,169,124,416
1990,Dec,8450,5679,4030,2986,2213,1673,1202,864,2755,7419,4938,3513,2615,1865,1434,1028,745,2548
1991,Jan,6529,3893,2423,1755,1134,793,577,425,1439,5489,3206,2073,1443,939,660,494,374,1343
1991,Feb,3336,2020,1267,879,552,437,287,209,866,2892,1770,1116,726,531,354,284,216,863
1991,Mar,4208,2661,1662,1032,646,421,324,225,752,3512,2083,1334,832,520,378,263,231,720
1991,Apr,3462,2081,1425,927,688,476,350,272,829,2795,1729,1194,794,564,438,306,218,773
1991,May,3670,2361,1654,1171,833,628,439,343,953,2920,1868,1374,901,652,477,372,261,792
1991,Jun,3135,1895,1124,706,441,298,214,206,521,2693,1612,886,575,370,255,195,160,505
1991,Jul,3390,2055,1305,926,666,510,367,282,1082,2766,1487,1100,742,507,453,273,236,996
1991,Aug,3391,2050,1294,820,578,443,243,186,631,2850,1650,1001,656,484,348,225,165,586
1991,Sep,1960,1132,664,405,267,204,147,103,490,1604,885,555,369,227,161,128,78,399
1991,Oct,3521,2211,1487,1044,710,495,319,263,831,2782,1748,1178,771,528,365,255,218,696
1991,Nov,2954,1941,1202,817,582,341,254,185,683,2498,1613,1051,680,500,290,247,160,629
1991,Dec,3953,2444,1449,947,668,435,291,224,608,3513,2133,1204,774,557,400,280,203,622
1992,Jan,3677,2217,1441,891,627,413,252,201,621,3181,1803,1187,734,508,304,230,183,576
1992,Feb,2773,1683,969,665,402,255,182,100,314,2274,1385,847,569,347,207,158,99,352
1992,Mar,3880,2405,1456,1024,664,456,295,222,743,3209,2005,1209,817,527,387,267,192,723
1992,Apr,2199,1262,798,526,355,250,179,114,308,1775,1060,650,419,300,207,150,104,346
1992,May,1918,1138,706,452,309,193,124,95,296,1600,966,610,372,272,168,95,72,329
1992,Jun,3538,2302,1472,967,661,493,360,253,936,2667,1866,1133,779,536,370,289,199,713
1992,Jul,4204,2741,1966,1359,1039,778,589,452,1886,3159,2130,1521,1047,794,667,511,371,1583
1992,Aug,3829,2528,1653,1107,801,540,451,353,996,3040,1924,1342,865,655,490,360,255,930
1992,Sep,2542,1641,1114,822,648,524,382,298,1005,2061,1354,808,712,589,395,324,211,810
1992,Oct,1937,1187,674,532,385,258,207,132,633,1635,975,564,388,306,224,147,112,502
1992,Nov,3004,1775,1076,706,448,290,195,127,370,2332,1320,871,505,331,245,173,95,353
1992,Dec,5917,3496,2202,1418,881,542,400,306,1173,4572,2890,1775,1110,695,498,339,254,1158
1993,Jan,5113,3014,1811,1170,722,509,339,221,648,4210,2423,1424,839,612,424,303,189,592
1993,Feb,4941,2995,1943,1323,864,643,475,357,1403,3967,2312,1586,1038,762,559,369,294,1199
1993,Mar,5673,3809,2685,2031,1630,1256,820,569,1803,4751,3316,2443,1748,1306,979,676,466,1643
