Year,Month,Dep Delay Count,Arr Delay Count
1987,Oct,5389,6349
1987,Nov,10462,12866
1987,Dec,20925,24437
1988,Jan,18853,22981
1988,Feb,13167,15700
1988,Mar,9967,11339
1988,Apr,9231,10656
1988,May,11216,13800
1988,Jun,6206,7292
1988,Jul,10787,12834
1988,Aug,8436,9775
1988,Sep,5264,6205
1988,Oct,6897,7841
1988,Nov,11239,13864
1988,Dec,12548,14938
1989,Jan,13138,15655
1989,Feb,11570,14505
1989,Mar,16702,19553
1989,Apr,6550,7333
1989,May,9619,12149
1989,Jun,18368,22566
1989,Jul,13067,15732
1989,Aug,13743,16341
1989,Sep,10690,12777
1989,Oct,10843,12504
1989,Nov,11491,13957
1989,Dec,19562,21831
1990,Jan,13609,16039
1990,Feb,18474,21402
1990,Mar,15251,18047
1990,Apr,7267,9186
1990,May,8755,12035
1990,Jun,11196,14236
1990,Jul,11280,14298
1990,Aug,12767,16162
1990,Sep,7511,8848
1990,Oct,7701,9760
1990,Nov,6283,7347
1990,Dec,26105,29852
1991,Jan,16021,18968
1991,Feb,8752,9853
1991,Mar,9873,11931
1991,Apr,8811,10510
1991,May,9617,12052
1991,Jun,7251,8540
1991,Jul,8560,10583
1991,Aug,7965,9636
1991,Sep,4406,5372
1991,Oct,8541,10881
1991,Nov,7668,8959
1991,Dec,9686,11019
1992,Jan,8706,10340
1992,Feb,6238,7343
1992,Mar,9336,11145
1992,Apr,5011,5991
1992,May,4484,5231
1992,Jun,8552,10982
1992,Jul,11783,15014
1992,Aug,9861,12258
1992,Sep,7264,8976
1992,Oct,4853,5945
1992,Nov,6225,7991
1992,Dec,13291,16335
1993,Jan,11016,13547
1993,Feb,12086,14944
1993,Mar,17328,20276
1993,Apr,9380,11309
1993,May,4941,6196
1993,Jun,8628,11135
1993,Jul,5334,6903
1993,Aug,7790,10197
1993,Sep,7124,9373
1993,Oct,7163,9479
1993,Nov,10220,11971
1993,Dec,10802,12964
1994,Jan,18825,22361
1994,Feb,15416,18158
1994,Mar,9718,11150
1994,Apr,9938,12357
1994,May,5583,6784
1994,Jun,11060,13983
1994,Jul,13672,17301
1994,Aug,9273,11202
1994,Sep,4679,5694
1994,Oct,8489,9840
1994,Nov,10083,11955
1994,Dec,10819,12435
1995,Jan,19163,21633
1995,Feb,12085,13490
1995,Mar,13803,15568
1995,Apr,11714,13259
1995,May,11282,13203
1995,Jun,15790,18336
1995,Jul,15154,16904
1995,Aug,15238,16590
1995,Sep,7826,7967
1995,Oct,10214,10967
1995,Nov,15247,16510
1995,Dec,28251,31478
1996,Jan,30087,35086
1996,Feb,19133,21012
1996,Mar,17791,20176
1996,Apr,14593,16299
1996,May,16524,18420
1996,Jun,20527,23828
1996,Jul,21468,24178
1996,Aug,19563,22129
1996,Sep,13728,15975
1996,Oct,15399,16993
1996,Nov,14769,16395
1996,Dec,31047,34231
1997,Jan,24567,28176
1997,Feb,17339,19246
1997,Mar,16592,17752
1997,Apr,16551,18112
1997,May,11761,12922
1997,Jun,18283,20753
1997,Jul,18567,20994
1997,Aug,16852,18668
1997,Sep,10133,10928
1997,Oct,12450,13284
1997,Nov,15653,17341
1997,Dec,20345,22390
1998,Jan,20837,23403
1998,Feb,18436,20968
1998,Mar,21915,24209
1998,Apr,16769,18672
1998,May,21314,23755
1998,Jun,30688,35642
1998,Jul,20911,22196
1998,Aug,21634,24136
1998,Sep,13178,13616
1998,Oct,16197,17223
1998,Nov,13024,13282
1998,Dec,25439,26713
1999,Jan,31728,35560
1999,Feb,14890,15889
1999,Mar,20615,21972
1999,Apr,21396,24287
1999,May,23833,27708
1999,Jun,30343,35847
1999,Jul,31392,36244
1999,Aug,23212,25491
1999,Sep,16231,17643
1999,Oct,16458,17416
1999,Nov,15611,16017
1999,Dec,17269,18340
2000,Jan,20691,23327
2000,Feb,22537,24116
2000,Mar,23083,24684
2000,Apr,23574,25824
2000,May,27740,30930
2000,Jun,38485,44259
2000,Jul,35562,38970
2000,Aug,33266,37135
2000,Sep,20017,22535
2000,Oct,24517,26285
2000,Nov,25187,27242
2000,Dec,39896,43410
2001,Jan,24214,25090
2001,Feb,25756,28705
2001,Mar,26511,27437
2001,Apr,21925,22930
2001,May,18038,19463
2001,Jun,29863,32962
2001,Jul,25554,27283
2001,Aug,30307,33545
2001,Sep,16369,16497
2001,Oct,11261,11254
2001,Nov,10144,10414
2001,Dec,13331,13777
2002,Jan,12443,13957
2002,Feb,8633,9187
2002,Mar,15880,17312
2002,Apr,13460,15108
2002,May,13675,15821
2002,Jun,20484,23487
2002,Jul,19858,22095
2002,Aug,15865,17370
2002,Sep,9357,10293
2002,Oct,11121,11841
2002,Nov,9930,10624
2002,Dec,19336,21242
2003,Jan,15828,17577
2003,Feb,20202,23188
2003,Mar,17375,19672
2003,Apr,11991,13112
2003,May,15047,17745
2003,Jun,17907,20590
2003,Jul,25029,29706
2003,Aug,24877,29612
2003,Sep,13249,16089
2003,Oct,12607,13494
2003,Nov,19267,22342
2003,Dec,25814,29431
2004,Jan,28298,32693
2004,Feb,23486,26802
2004,Mar,22401,24821
2004,Apr,18068,19813
2004,May,31678,37751
2004,Jun,38393,44992
2004,Jul,34843,39571
2004,Aug,31191,35384
2004,Sep,16809,17860
2004,Oct,20859,22761
2004,Nov,26986,28928
2004,Dec,40593,43327
2005,Jan,35275,39427
2005,Feb,24778,27369
2005,Mar,31557,34186
2005,Apr,18930,20416
2005,May,20744,22386
2005,Jun,37519,42251
2005,Jul,51428,58483
2005,Aug,36971,40995
2005,Sep,17351,19225
2005,Oct,23198,24953
2005,Nov,23225,25754
2005,Dec,36255,39572
2006,Jan,28303,30154
2006,Feb,27041,29247
2006,Mar,34069,36585
2006,Apr,27964,30409
2006,May,30405,33062
2006,Jun,42925,47969
2006,Jul,43468,47262
2006,Aug,36554,40950
2006,Sep,32994,37934
2006,Oct,37945,43634
2006,Nov,30512,33887
2006,Dec,44241,46675
2007,Jan,36934,41063
2007,Feb,42213,46537
2007,Mar,42183,45675
2007,Apr,36170,39252
2007,May,31481,35224
2007,Jun,56502,63509
2007,Jul,53780,59681
2007,Aug,49674,54866
2007,Sep,25107,27211
2007,Oct,31113,34029
2007,Nov,29092,30239
2007,Dec,54564,60514
2008,Jan,41102,44359
2008,Feb,44653,49067
2008,Mar,43697,47172
2008,Apr,29984,32567
2008,May,29081,31552
2008,Jun,48750,55042
2008,Jul,44478,48201
2008,Aug,35940,37914
2008,Sep,18003,18721
2008,Oct,16528,16687
2008,Nov,21662,22846
2008,Dec,52798,57435
2009,Jan,26264,28763
2009,Feb,20343,21383
2009,Mar,30209,31806
2009,Apr,30485,32198
2009,May,25664,27304
2009,Jun,36688,38867
2009,Jul,34921,36972
2009,Aug,31054,32274
2009,Sep,15483,15829
2009,Oct,27755,30037
2009,Nov,13590,12648
2009,Dec,36971,38449
2010,Jan,25674,25757
2010,Feb,25654,26534
2010,Mar,29413,28866
2010,Apr,19093,18611
2010,May,29357,29870
2010,Jun,37120,37763
2010,Jul,37507,38303
2010,Aug,27680,27495
2010,Sep,18292,18498
2010,Oct,21887,21431
2010,Nov,19059,18759
2010,Dec,37590,37909
2011,Jan,24850,25434
2011,Feb,25258,26200
2011,Mar,28187,28675
2011,Apr,32699,34493
2011,May,32669,33982
2011,Jun,34351,35715
2011,Jul,37009,37648
2011,Aug,31019,31494
2011,Sep,19836,20224
2011,Oct,17338,17148
2011,Nov,17109,16725
2011,Dec,19514,18890
2012,Jan,19808,19523
2012,Feb,15372,14882
2012,Mar,25071,24276
2012,Apr,17646,16826
2012,May,23766,23657
2012,Jun,29266,28816
2012,Jul,41927,42421
2012,Aug,33575,33216
2012,Sep,22300,22702
2012,Oct,22298,22195
2012,Nov,18364,17075
2012,Dec,31442,31189
